ID,group,item.number,item,spelling.learned,reduction.type,pronunciation,button.pressedd,correct,RT,trial,spellingTest.answer,spelling.correct
CN01,Canonical_None,30,vegetable,,,Familiar words,1,1,1455,51,,
CN01,Canonical_None,31,window,,,Familiar words,1,1,743,52,,
CN02,Canonical_None,99,bliddus,none,flap,"New words, trained pronunciation",1,1,331,117,,
CN02,Canonical_None,124,bredenno,canonical,nasal,"New words, trained pronunciation",1,1,203,74,,
CN02,Canonical_None,110,bunnow,none,nasal,"New words, trained pronunciation",4,0,468,3,,
CN02,Canonical_None,96,byddo,canonical,flap,"New words, trained pronunciation",1,1,483,103,,
CN02,Canonical_None,98,cluddee,none,flap,"New words, trained pronunciation",1,1,731,5,,
CN02,Canonical_None,125,credenner,none,nasal,"New words, trained pronunciation",4,0,4185,86,,
CN02,Canonical_None,121,cynnergus,none,nasal,"New words, trained pronunciation",1,1,570,71,,
CN02,Canonical_None,101,fluddow,none,flap,"New words, trained pronunciation",4,0,854,79,,
CN02,Canonical_None,111,gleanny,canonical,nasal,"New words, trained pronunciation",1,1,625,41,,
CN02,Canonical_None,105,glunner,none,nasal,"New words, trained pronunciation",1,1,375,19,,
CN02,Canonical_None,127,lucrunny,none,nasal,"New words, trained pronunciation",1,1,880,94,,
CN02,Canonical_None,113,piddery,canonical,flap,"New words, trained pronunciation",4,0,2606,82,,
CN02,Canonical_None,116,pribeddy,none,flap,"New words, trained pronunciation",1,1,265,93,,
CN02,Canonical_None,107,prounner,none,nasal,"New words, trained pronunciation",1,1,1699,24,,
CN02,Canonical_None,100,ruddow,canonical,flap,"New words, trained pronunciation",1,1,1332,115,,
CN02,Canonical_None,119,sceaneddy,canonical,flap,"New words, trained pronunciation",1,1,294,21,,
CN02,Canonical_None,106,senno,canonical,nasal,"New words, trained pronunciation",4,0,260,120,,
CN02,Canonical_None,103,sleddow,canonical,flap,"New words, trained pronunciation",1,1,331,26,,
CN02,Canonical_None,112,slyddenee,none,flap,"New words, trained pronunciation",1,1,470,97,,
CN02,Canonical_None,108,smounnus,canonical,nasal,"New words, trained pronunciation",1,1,554,17,,
CN02,Canonical_None,120,sounnerby,canonical,nasal,"New words, trained pronunciation",1,1,1648,42,,
CN02,Canonical_None,118,spearoddus,none,flap,"New words, trained pronunciation",4,0,2457,77,,
CN02,Canonical_None,123,spennogy,none,nasal,"New words, trained pronunciation",4,0,417,78,,
CN02,Canonical_None,126,suspinnus,canonical,nasal,"New words, trained pronunciation",1,1,421,126,,
CN02,Canonical_None,117,trecoddus,canonical,flap,"New words, trained pronunciation",1,1,458,70,,
CN02,Canonical_None,114,treddemus,canonical,flap,"New words, trained pronunciation",4,0,472,80,,
CN02,Canonical_None,104,trenner,canonical,nasal,"New words, trained pronunciation",4,0,1226,88,,
CN02,Canonical_None,97,troddy,canonical,flap,"New words, trained pronunciation",1,1,509,18,,
CN02,Canonical_None,109,trounny,none,nasal,"New words, trained pronunciation",4,0,1254,123,,
CN02,Canonical_None,115,veddetus,none,flap,"New words, trained pronunciation",1,1,105,95,,
CN02,Canonical_None,122,vinnimal,canonical,nasal,"New words, trained pronunciation",1,1,1836,46,,
CN02,Canonical_None,102,vouddy,none,flap,"New words, trained pronunciation",1,1,577,98,,
CN02,Canonical_None,35,blittus,none,flap,"New words, canonical pronunciation",1,0,489,107,,
CN02,Canonical_None,60,bredento,canonical,nasal,"New words, canonical pronunciation",1,0,503,90,,
CN02,Canonical_None,46,buntow,none,nasal,"New words, canonical pronunciation",1,0,429,20,,
CN02,Canonical_None,32,bytto,canonical,flap,"New words, canonical pronunciation",1,0,224,113,,
CN02,Canonical_None,34,cluttee,none,flap,"New words, canonical pronunciation",1,0,1067,65,,
CN02,Canonical_None,61,credenter,none,nasal,"New words, canonical pronunciation",1,0,264,37,,
CN02,Canonical_None,57,cyntergus,none,nasal,"New words, canonical pronunciation",1,0,409,101,,
CN02,Canonical_None,37,fluttow,none,flap,"New words, canonical pronunciation",1,0,1195,32,,
CN02,Canonical_None,47,gleanty,canonical,nasal,"New words, canonical pronunciation",1,0,559,125,,
CN02,Canonical_None,41,glunter,none,nasal,"New words, canonical pronunciation",1,0,388,111,,
CN02,Canonical_None,63,lucrunty,none,nasal,"New words, canonical pronunciation",1,0,559,100,,
CN02,Canonical_None,49,pittery,canonical,flap,"New words, canonical pronunciation",1,0,315,104,,
CN02,Canonical_None,52,pribetty,none,flap,"New words, canonical pronunciation",1,0,1443,34,,
CN02,Canonical_None,43,prounter,none,nasal,"New words, canonical pronunciation",1,0,122,23,,
CN02,Canonical_None,36,ruttow,canonical,flap,"New words, canonical pronunciation",1,0,135,59,,
CN02,Canonical_None,55,sceanetty,canonical,flap,"New words, canonical pronunciation",1,0,1242,48,,
CN02,Canonical_None,42,sento,canonical,nasal,"New words, canonical pronunciation",4,1,897,1,,
CN02,Canonical_None,39,slettow,canonical,flap,"New words, canonical pronunciation",4,1,580,9,,
CN02,Canonical_None,48,slyttenee,none,flap,"New words, canonical pronunciation",1,0,169,96,,
CN02,Canonical_None,44,smountus,canonical,nasal,"New words, canonical pronunciation",1,0,737,40,,
CN02,Canonical_None,56,sounterby,canonical,nasal,"New words, canonical pronunciation",1,0,533,10,,
CN02,Canonical_None,54,spearottus,none,flap,"New words, canonical pronunciation",1,0,42,22,,
CN02,Canonical_None,59,spentogy,none,nasal,"New words, canonical pronunciation",1,0,2130,53,,
CN02,Canonical_None,62,suspintus,canonical,nasal,"New words, canonical pronunciation",1,0,2210,38,,
CN02,Canonical_None,53,trecottus,canonical,flap,"New words, canonical pronunciation",4,1,352,119,,
CN02,Canonical_None,40,trenter,canonical,nasal,"New words, canonical pronunciation",1,0,890,49,,
CN02,Canonical_None,50,trettemus,canonical,flap,"New words, canonical pronunciation",1,0,796,69,,
CN02,Canonical_None,33,trotty,canonical,flap,"New words, canonical pronunciation",1,0,460,116,,
CN02,Canonical_None,45,trounty,none,nasal,"New words, canonical pronunciation",1,0,440,110,,
CN02,Canonical_None,51,vettetus,none,flap,"New words, canonical pronunciation",1,0,915,67,,
CN02,Canonical_None,58,vintimal,canonical,nasal,"New words, canonical pronunciation",1,0,756,35,,
CN02,Canonical_None,38,voutty,none,flap,"New words, canonical pronunciation",1,0,471,106,,
CN02,Canonical_None,64,abron,,,Nonwords,1,0,500,124,,
CN02,Canonical_None,65,balloom,,,Nonwords,1,0,332,99,,
CN02,Canonical_None,68,bashketball,,,Nonwords,1,0,652,62,,
CN02,Canonical_None,83,bencil,,,Nonwords,1,0,402,91,,
CN02,Canonical_None,84,briest,,,Nonwords,1,0,587,29,,
CN02,Canonical_None,70,cabimet,,,Nonwords,1,0,299,114,,
CN02,Canonical_None,71,cassier,,,Nonwords,1,0,428,8,,
CN02,Canonical_None,72,crame,,,Nonwords,1,0,494,13,,
CN02,Canonical_None,73,dansher,,,Nonwords,1,0,228,92,,
CN02,Canonical_None,74,feshtival,,,Nonwords,1,0,531,56,,
CN02,Canonical_None,75,fiss,,,Nonwords,1,0,885,45,,
CN02,Canonical_None,76,glash,,,Nonwords,1,0,170,64,,
CN02,Canonical_None,77,grabe,,,Nonwords,4,1,619,28,,
CN02,Canonical_None,78,han,,,Nonwords,1,0,28,25,,
CN02,Canonical_None,79,herpivore,,,Nonwords,1,0,2514,54,,
CN02,Canonical_None,80,nechanic,,,Nonwords,1,0,1505,31,,
CN02,Canonical_None,81,nushroom,,,Nonwords,1,0,1723,27,,
CN02,Canonical_None,82,palashe,,,Nonwords,1,0,1095,55,,
CN02,Canonical_None,66,pank,,,Nonwords,1,0,945,6,,
CN02,Canonical_None,67,parrel,,,Nonwords,1,0,1364,63,,
CN02,Canonical_None,69,prain,,,Nonwords,1,0,2617,0,,
CN02,Canonical_None,85,reshtaurant,,,Nonwords,1,0,785,36,,
CN02,Canonical_None,86,ruppish,,,Nonwords,1,0,732,68,,
CN02,Canonical_None,87,selter,,,Nonwords,1,0,663,108,,
CN02,Canonical_None,90,shke,,,Nonwords,1,0,191,61,,
CN02,Canonical_None,88,sirt,,,Nonwords,4,1,2555,75,,
CN02,Canonical_None,89,smail,,,Nonwords,1,0,650,7,,
CN02,Canonical_None,91,spoom,,,Nonwords,1,0,2017,76,,
CN02,Canonical_None,92,sunnit,,,Nonwords,1,0,566,118,,
CN02,Canonical_None,93,teemager,,,Nonwords,1,0,431,14,,
CN02,Canonical_None,94,vegetaple,,,Nonwords,4,1,1701,84,,
CN02,Canonical_None,95,wimdow,,,Nonwords,4,1,704,83,,
CN02,Canonical_None,0,apron,,,Familiar words,1,1,1276,50,,
CN02,Canonical_None,1,balloon,,,Familiar words,1,1,1447,33,,
CN02,Canonical_None,2,bank,,,Familiar words,1,1,364,109,,
CN02,Canonical_None,3,barrel,,,Familiar words,1,1,538,16,,
CN02,Canonical_None,4,basketball,,,Familiar words,1,1,456,2,,
CN02,Canonical_None,5,brain,,,Familiar words,1,1,2138,47,,
CN02,Canonical_None,6,cabinet,,,Familiar words,1,1,210,73,,
CN02,Canonical_None,7,cashier,,,Familiar words,1,1,245,12,,
CN02,Canonical_None,8,crane,,,Familiar words,1,1,1111,43,,
CN02,Canonical_None,9,dancer,,,Familiar words,1,1,685,15,,
CN02,Canonical_None,10,festival,,,Familiar words,4,0,54,122,,
CN02,Canonical_None,11,fish,,,Familiar words,1,1,2098,39,,
CN02,Canonical_None,12,glass,,,Familiar words,1,1,1828,58,,
CN02,Canonical_None,13,grape,,,Familiar words,1,1,264,11,,
CN02,Canonical_None,14,ham,,,Familiar words,1,1,260,102,,
CN02,Canonical_None,15,herbivore,,,Familiar words,1,1,345,57,,
CN02,Canonical_None,16,mechanic,,,Familiar words,1,1,350,112,,
CN02,Canonical_None,17,mushroom,,,Familiar words,1,1,353,4,,
CN02,Canonical_None,18,palace,,,Familiar words,4,0,1364,81,,
CN02,Canonical_None,19,pencil,,,Familiar words,1,1,2118,30,,
CN02,Canonical_None,20,priest,,,Familiar words,1,1,1117,105,,
CN02,Canonical_None,21,restaurant,,,Familiar words,4,0,42,127,,
CN02,Canonical_None,22,rubbish,,,Familiar words,1,1,577,44,,
CN02,Canonical_None,23,shelter,,,Familiar words,4,0,261,121,,
CN02,Canonical_None,24,shirt,,,Familiar words,1,1,253,72,,
CN02,Canonical_None,25,sil,,,Familiar words,1,1,1333,66,,
CN02,Canonical_None,26,ske,,,Familiar words,1,1,164,60,,
CN02,Canonical_None,27,spoon,,,Familiar words,4,0,322,87,,
CN02,Canonical_None,28,summit,,,Familiar words,4,0,92,85,,
CN02,Canonical_None,29,teeger,,,Familiar words,1,1,957,89,,
CN02,Canonical_None,30,vegetable,,,Familiar words,1,1,954,51,,
CN02,Canonical_None,31,window,,,Familiar words,1,1,1373,52,,
CN03,Canonical_None,99,bliddus,none,flap,"New words, trained pronunciation",1,1,827,117,,
CN03,Canonical_None,124,bredenno,canonical,nasal,"New words, trained pronunciation",1,1,674,74,,
CN03,Canonical_None,110,bunnow,none,nasal,"New words, trained pronunciation",4,0,1386,3,,
CN03,Canonical_None,96,byddo,canonical,flap,"New words, trained pronunciation",1,1,743,103,,
CN03,Canonical_None,98,cluddee,none,flap,"New words, trained pronunciation",1,1,599,5,,
CN03,Canonical_None,125,credenner,none,nasal,"New words, trained pronunciation",1,1,691,86,,
CN03,Canonical_None,121,cynnergus,none,nasal,"New words, trained pronunciation",1,1,1364,71,,
CN03,Canonical_None,101,fluddow,none,flap,"New words, trained pronunciation",1,1,717,79,,
